,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
RIL182_03442,1036,826,884,2128,839,1205,1724,2614.309,1783,639,218,828,"fig|536231.75.peg.3592|RIL182_03442   Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03443,735,666,930,988,412,505,704,852,423,230,104,163,"fig|536231.75.peg.3593|RIL182_03443   tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03444,254,277,231,943,512,338,367,545,246,208,114,181,"fig|536231.75.peg.3594|RIL182_03444   Stage II sporulation serine phosphatase for sigma-F activation (SpoIIE)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3595   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",3,0,5,0,0,0,3,0,2,2,0,0,"fig|536231.75.peg.3595   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03445,1510,1076,1152,1723,2027.568,1286,819,1741,2883,1105,505,878,"fig|536231.75.peg.3596|RIL182_03445   Putative ion-channel protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03446,1434,1403,1770,1094,812,875.801,1998.923,2570.995,2614.259,1232,524,1000,"fig|536231.75.peg.3597|RIL182_03446   Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03447,6489.832,4753.06,6681.167,7603.216,8330.122,5734.598,8091.402,15156.073,14498.157,7943.395,6334.021,8111.812,"fig|536231.75.peg.3598|RIL182_03447   Spore cortex biosynthesis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03448,8895.636,6704.055,8827.908,5962.735,9579.124,6836.533,8673.623,8270.91,6488.229,2290.278,2195.867,4238.913,"fig|536231.75.peg.3599|RIL182_03448   FIG007421: forespore shell protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03449,3541.532,2779.168,3656.829,5207.568,7070.194,4788.835,5014.87,7391.669,6681.347,3204.831,2385.112,3468.275,"fig|536231.75.peg.3600|RIL182_03449   Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03450,49536.317,31180.276,39684.911,47544.299,54759.751,54475.878,115710.706,118586.133,19552.007,2202.495,2501,4888,"fig|536231.75.peg.3601|RIL182_03450   DNA-binding protein HBsu   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03451,235.535,185.297,247.766,1104.251,2168.262,769.077,575.178,737.165,579.773,253.368,239,242.302,"fig|536231.75.peg.3602|RIL182_03451   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03452,6363.468,6930.703,12104.349,15402.93,15498.547,11961.989,10593.734,15806.864,16437.552,12331.632,11269,11542.698,"fig|536231.75.peg.3603|RIL182_03452   Phosphoglucosamine mutase (EC 5.4.2.10)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03453,3333,2802,4404,5960,7742,4457,3108.028,4634,2485,1612,876,1757,"fig|536231.75.peg.3604|RIL182_03453   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03454,80,51,43,278,137,82,181,200,110,89,40,127,"fig|536231.75.peg.3605|RIL182_03454   Spore coat protein S   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03455,4377,4153.192,6485,6246,5863,4997,4544,5420,3860,2842,2181,2599,"fig|536231.75.peg.3606|RIL182_03455   CCA tRNA nucleotidyltransferase (EC 2.7.7.72)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03456,3649,3116,4123.027,6369,5974,4115,7787,8811.168,4758,6424,2470,4458,"fig|536231.75.peg.3607|RIL182_03456   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03457,26677,21366.107,33107.641,29391,20982,25693.008,31683.377,35878.824,26774,20304,17206,18247,"fig|536231.75.peg.3608|RIL182_03457   Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03458,397,331,378,1766,1042,730.857,1322.286,1640.773,1265,2058,909,1372,"fig|536231.75.peg.3609|RIL182_03458   RNA pseudouridylate synthase, group 1   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03459,62,51,52,272,122,101.143,348.714,427.251,140,146,45,85,"fig|536231.75.peg.3610|RIL182_03459   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3611   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,2,15,0,0,17,24,17,15,0,49,"fig|536231.75.peg.3611   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3612   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,0,0,0,0,0,5,1,14,14,0,20,"fig|536231.75.peg.3612   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03460,4423,3992,5201,24000,31309,10883,11267,19061.855,10187,15348,9499,10534,"fig|536231.75.peg.3613|RIL182_03460   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03461,6528,5313,7214,31371,37500.751,14021,19857,31507.737,13524,18245,9498,12524,"fig|536231.75.peg.3614|RIL182_03461   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03462,3980,2171,3904,3937,2339,3387,4478,8542.13,9866,3506,2010,3348,"fig|536231.75.peg.3615|RIL182_03462   S-adenosylmethionine synthetase (EC 2.5.1.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03463,1640,1028,1095,2815,2119,1609,2529,3478,3986,1922,807,1692,"fig|536231.75.peg.3616|RIL182_03463   HD domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03464,387,261,450,817,678,425,426,467,715,358,317,259,"fig|536231.75.peg.3617|RIL182_03464   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03465,113,68,124,45,13,13.074,108.53,112,147,143,83,52,"fig|536231.75.peg.3618|RIL182_03465   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03466,14049,10390.013,15841,14272,14095,14098.926,14123.105,20516.369,20119,9374,7122,9839,"fig|536231.75.peg.3619|RIL182_03466   UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03467,357,341,470,875,422,446,1174,1737,703,442,115,465,"fig|536231.75.peg.3620|RIL182_03467   Membrane proteins related to metalloendopeptidases   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03468,3,10,1,59,5,15,100,127,34,19,0,20,"fig|536231.75.peg.3621|RIL182_03468   Shikimate kinase I (EC 2.7.1.71)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03469,514,303,405,436,163,197,896,1106,218,119,49,215,"fig|536231.75.peg.3622|RIL182_03469   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03470,2351,2050,2600,4132.894,3330,2846,4067,4541,3481,2786,1479,2465,"fig|536231.75.peg.3623|RIL182_03470   Transcription-repair coupling factor   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03471,389,264,240,960,502,339,658,902,713,344,204,417,"fig|536231.75.peg.3624|RIL182_03471   Peptidyl-tRNA hydrolase (EC 3.1.1.29)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03472,195,169,117,320,267,146,714,683,317,222,11,144,"fig|536231.75.peg.3625|RIL182_03472   N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03473,19914,21156.541,13606.903,9765.86,7946.306,5175.453,13402,18670,10788,5774,3238,4619,"fig|536231.75.peg.3626|RIL182_03473   DNA-binding protein SpoVG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03474,35973,38405.138,24566.099,31086.14,29233.694,17429.547,41372.46,69319.957,46619,23583,10150,18167,"fig|536231.75.peg.3627|RIL182_03474   Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03475,110677.034,80344.965,80480.448,134387,69956.05,40684,77225.255,123034.439,77930,29731,15319,24834,"fig|536231.75.peg.3628|RIL182_03475   Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03476,1885,1182,1676,2536,1410,2188,1979,4014,6425,3362,1395,2423,"fig|536231.75.peg.3629|RIL182_03476   UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3630   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,0,1,0,5,0,1,0,0,0,0,0,"fig|536231.75.peg.3630   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03477,488,271,229,1392,944,744,857,1675,2435,2270,529,1615,"fig|536231.75.peg.3631|RIL182_03477   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03478,878,723,806,2573,1205,1671,1509,2232.016,2917,2789,759,2014,"fig|536231.75.peg.3632|RIL182_03478   DNA replication helicase loader DnaC/DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03479,14008,9317.987,9005,13486,11867,11708,12732,12045,12964,9334,4612,7189,"fig|536231.75.peg.3633|RIL182_03479   Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03480,19706.557,11870,14977.379,13630,18068,26148,21101.057,21166.122,13214,3832,3764,5413,"fig|536231.75.peg.3634|RIL182_03480   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03481,612,377,455,593,129,583,2127.928,2101.553,1930,728,207,700,"fig|536231.75.peg.3635|RIL182_03481   Phosphotransferase system, HPr-related proteins   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03482,1995,1890,3005,4756,3633,2418,3690,4755,2618,2056,1040,1734,"fig|536231.75.peg.3636|RIL182_03482   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03483,79,92.515,97,263,109,128,168.133,227.512,235,102,34,74,"fig|536231.75.peg.3637|RIL182_03483   FIG01020103: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03484,1588.206,1355.242,1259,4172,3869.221,2252.382,3078.425,5432.996,4788,3162,1229,2433,"fig|536231.75.peg.3638|RIL182_03484   Alpha-glucosidase (EC 3.2.1.20)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03485,100.794,74.243,75,67,48.779,65.618,200.442,191.497,203,76,18,76,"fig|536231.75.peg.3639|RIL182_03485   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03486,199,139,163,544,822,356,116,182,159,138,137,73,"fig|536231.75.peg.3640|RIL182_03486   ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03487,42,41,38,224,289,107,56,89,75,143,19,52,"fig|536231.75.peg.3641|RIL182_03487   Hydroxymethylpyrimidine ABC transporter, transmembrane component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03488,15,24,26,47,36,44,25,49,12,14,6,5,"fig|536231.75.peg.3642|RIL182_03488   Hydroxymethylpyrimidine ABC transporter, ATPase component   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03489,1417,991,1329.023,4496,3229,2106,2460.008,4319,3076,2454,1673,2085,"fig|536231.75.peg.3643|RIL182_03489   magnesium and cobalt transport protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03490,803,650,567,1621,1353,813,1154.022,1712,946,820,240,585,"fig|536231.75.peg.3644|RIL182_03490   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03491,1469,1198,1669,9687,6285,4102,3650,6411,4258,6914,2251,3712,"fig|536231.75.peg.3645|RIL182_03491   ABC transporter, FliJ domain and fused permease subunit   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03492,232,110,108,2299,1559,1132,843,1702,1214,2542,1149,1348,"fig|536231.75.peg.3646|RIL182_03492   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3647   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3647   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03493,121,129,137,319,331,235,88,121,115,41,97,42,"fig|536231.75.peg.3648|RIL182_03493   Enolase (EC 4.2.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03494,1747,1640,1997,2478,2933.339,2188,1316,1855.006,1840,907,713,895,"fig|536231.75.peg.3649|RIL182_03494   2-Hydroxy-6-Oxo-6-Phenylhexa-2,4-Dienoate hydrolase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03495,1063,1031,937,2526,3173,1912,1418,2752,2763,1806,648,1426,"fig|536231.75.peg.3650|RIL182_03495   Beta-mannosidase (EC 3.2.1.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03496,158,131,176,268,246,180,212,225,253,190,8,96,"fig|536231.75.peg.3651|RIL182_03496   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03497,25,23,26,8,91,15,62,44,21,32,0,18,"fig|536231.75.peg.3652|RIL182_03497   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03498,1709,1516,1895,1120.565,324,1063,814,1364.018,1514,822,556,603,"fig|536231.75.peg.3653|RIL182_03498   Tellurium resistance protein TerD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03499,560,500,513,687,622,310,494,931,1052,562,244,444,"fig|536231.75.peg.3654|RIL182_03499   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03500,1014,720,763,2069,2892,1878,2132,4065,5654,3576,878,2824,"fig|536231.75.peg.3655|RIL182_03500   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03501,9520,7446,9182,16967,17736,13011,12662,22522.161,24352,16999.329,5706,13553,"fig|536231.75.peg.3656|RIL182_03501   Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03502,614,436,379,3172,2885,2181,2014,3626.659,3904,2604,621,2000,"fig|536231.75.peg.3657|RIL182_03502   Tellurium resistance protein TerD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03503,1862,1592,2022,2255,1169,1716,2562,3279,2431,1558,571,1336,"fig|536231.75.peg.3658|RIL182_03503   Tellurium resistance protein TerD   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03504,1227,812,742,4651,2657,2796,3835.547,6071,5745,4087,1072,3152,"fig|536231.75.peg.3659|RIL182_03504   Uncharacterized protein YceH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03505,6442,6453,12587,12115.444,8558,10265,6941.453,11455,11007,6332,3131,4742,"fig|536231.75.peg.3660|RIL182_03505   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03506,379,214,257,810,335,468,956,1655,1489,1037,250,791,"fig|536231.75.peg.3661|RIL182_03506   Rhomboid-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03507,590,368,390,343,351,247,274,596,731,570,117,449,"fig|536231.75.peg.3662|RIL182_03507   Similar to citrate lyase beta subunit   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03509,2393,1996,2343,3161,2216,2042.425,4387,8468,5776,3542,1686,2715,"fig|536231.75.peg.3663|RIL182_03509   putative ATP/GTP-binding protein protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03510,1451,1310,992,5743,4564,2155,7841,14357.505,7087,4850,1323,3825,"fig|536231.75.peg.3664|RIL182_03510   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03511,1048.17,887.948,875.808,1521.53,1536.273,609.634,2261.663,3021.204,1876.085,796.696,258.464,648.259,"fig|536231.75.peg.3665|RIL182_03511   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3666   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",900.767,742,675.806,1125.136,1414.737,847.862,1283.506,1110.764,844,298,129,380,"fig|536231.75.peg.3666   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03512,1314.593,854.873,921.499,998.952,881.241,517.504,1372.828,1418.107,495.661,171.304,111.458,290.743,"fig|536231.75.peg.3667|RIL182_03512   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03513,1272.47,1106.179,1156.887,1087.381,1154.749,751,1341.034,1358.002,608.254,278,287.078,412.998,"fig|536231.75.peg.3668|RIL182_03513   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03514,5,4,11,11,8,0,33,49,25,13,0,9,"fig|536231.75.peg.3669|RIL182_03514   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03515,261,199,213,179,329,166,315,434,234,116,56,56,"fig|536231.75.peg.3670|RIL182_03515   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03516,685,573,650,234,281,318,627,806,959,230,71,356,"fig|536231.75.peg.3671|RIL182_03516   Helix-turn-helix motif   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03517,60,81,55,198,100,195,225,290,278,212,47,173,"fig|536231.75.peg.3672|RIL182_03517   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03518,7,6,11,6,7,13,37,51,26,18,3,23,"fig|536231.75.peg.3673|RIL182_03518   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03519,12,0,1,3,0,6,13,19,2,3,0,17,"fig|536231.75.peg.3674|RIL182_03519   FIG01235136: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03520,933,928.024,875,1045,1080,836,1228,1659,1081,857,279,699,"fig|536231.75.peg.3675|RIL182_03520   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03521,476,365,327,877,1031,643,750,768,357,478,70,295,"fig|536231.75.peg.3676|RIL182_03521   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03522,189,180,147,192,112,134,326,288,212,98,33,106,"fig|536231.75.peg.3677|RIL182_03522   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03523,128,93,124,111,49,81,200,224,42,42,20,17,"fig|536231.75.peg.3678|RIL182_03523   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03524,128,122,71,264,291,162,326,367,267,244,34,144,"fig|536231.75.peg.3679|RIL182_03524   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03525,435,399,332,635,1022,539,833,1157,646,553,75,399,"fig|536231.75.peg.3680|RIL182_03525   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03526,96,96,86,205,94,44,150,164,36,219,47,116,"fig|536231.75.peg.3681|RIL182_03526   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03527,963,1002,880,588,998,572,586.014,834,516,547,193,446,"fig|536231.75.peg.3682|RIL182_03527   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03528,1257,944,1233,2180,1838,1645.324,1095,2030,2365,2110,1176,1179.105,"fig|536231.75.peg.3683|RIL182_03528   Sulfate permease   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03529,1258,821,848,2906,1747,1917,961,2563,4647,2404,1168,1541,"fig|536231.75.peg.3684|RIL182_03529   O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03530,4303.06,3687,4184,5300.489,7167,5027.362,7240.001,10505.452,9724,5218,1458,4464,"fig|536231.75.peg.3685|RIL182_03530   diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03531,525.164,399.284,447.685,844.848,453.316,472.621,1658.467,2051.116,1855,1138,240,1135,"fig|536231.75.peg.3686|RIL182_03531   Carbonic anhydrase-like protein MJ0304   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03532,691.836,516.716,549.315,2244.663,1503.684,789.017,1975.533,2439.755,1395,1058,320,714,"fig|536231.75.peg.3687|RIL182_03532   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03533,608,373,350,1043.26,484.013,393,1022.989,1200,406,288,77,208,"fig|536231.75.peg.3688|RIL182_03533   FIG138056: a glutathione-dependent thiol reductase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03534,7370,5286,6756,4190.74,4044.987,3097,14949.014,12882.008,5107,1823,1304,2740,"fig|536231.75.peg.3689|RIL182_03534   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03535,14,1,3,0,8,0,19,30,34,0,0,0,"fig|536231.75.peg.3690|RIL182_03535   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03536,184,98.261,144.139,82.412,230,129,188.039,139,43,10,43,0,"fig|536231.75.peg.3691|RIL182_03536   Acetyltransferase, GNAT family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03539,7,7,6,7,0,0,0,1,0,0,0,0,"fig|536231.75.peg.3694|RIL182_03539   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03540,1594,1194,1261,2599,2199,1039,3110,3330,1184,869,462,738,"fig|536231.75.peg.3695|RIL182_03540   Site-specific recombinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03541,656,419.097,449.662,676.54,274.283,303.8,553.886,605,489.293,312,207,271,"fig|536231.75.peg.3696|RIL182_03541   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03542,776,460.903,474.338,731.46,442.717,397.2,750.114,1094,1401.707,798,322,583,"fig|536231.75.peg.3697|RIL182_03542   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03543,1,0,0,0,0,0,1,0,0,0,0,0,"fig|536231.75.peg.3698|RIL182_03543   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03544,234,230,161,245.082,79,142,296,309,295,174,27,213,"fig|536231.75.peg.3699|RIL182_03544   FIG00645368: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03545,13449,8694,6457,4814,7409,3294,25796,17057,2798,4217,2902,5513,"fig|536231.75.peg.3700|RIL182_03545   ABC transporter, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03546,164,141,95,870,1193,270,2036,3707,1162,2008,324,1622,"fig|536231.75.peg.3701|RIL182_03546   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03547,433,356,299,1838,1924,812,3983,6156,2370,4072,852,3438,"fig|536231.75.peg.3702|RIL182_03547   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03549,1625.015,1289,1264,1532,2108,1042,7853.001,7853,1984,2311,1425,2310,"fig|536231.75.peg.3704|RIL182_03549   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03550,184,167,127,132,87,54,816,982,166,178,9,109,"fig|536231.75.peg.3705|RIL182_03550   Two-component transcriptional response regulator, LuxR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03551,65,48,22,42,85,37,1,5,11,0,0,0,"fig|536231.75.peg.3706|RIL182_03551   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03552,28.57,26,20,73.167,79.113,47,1,4,6,19,0,0,"fig|536231.75.peg.3707|RIL182_03552   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03553,20.43,24,22,183.833,34.887,44,7,9,37,0,29,0,"fig|536231.75.peg.3708|RIL182_03553   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03554,19,41,24,29,44,9,0,5,11,0,0,0,"fig|536231.75.peg.3709|RIL182_03554   Helicase loader DnaI   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03555,5,17,2,0,0,11,3,4,0,0,0,0,"fig|536231.75.peg.3710|RIL182_03555   FIG00645363: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03556,60,61,25,56,129,88,12,47,58,14,0,0,"fig|536231.75.peg.3711|RIL182_03556   MobA/MobL protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03557,3532,2366,3789,7609,12151.318,4617,10788.037,7721.005,2517,909,795,2325,"fig|536231.75.peg.3712|RIL182_03557   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03558,3793,2801.959,4996.109,4218.285,4507.253,3832.43,3062.77,4394.259,2008.123,747,999,1037.267,"fig|536231.75.peg.3713|RIL182_03558   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03559,1676,1085.041,1283.891,3691.715,3129.747,2710.57,2678.21,4850.406,4726.877,3227,1104,2316.733,"fig|536231.75.peg.3714|RIL182_03559   RNA methyltransferase, TrmA family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03560,936,930,919,2326,940,1116,2247,2827,2226,1756,544,1466,"fig|536231.75.peg.3715|RIL182_03560   Plasmid replication DNA element cmp binding-factor 1   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3716   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",2,7,5,0,0,0,7,14,18,24,22,51,"fig|536231.75.peg.3716   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03561,1770,1470,1440,3717,2809,2319,3465,4976,3532,2507,830,1725,"fig|536231.75.peg.3717|RIL182_03561   Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03562,1346,842,935,3796,1706,2584.065,1910,4945.054,8182,6640,1539,4078,"fig|536231.75.peg.3718|RIL182_03562   Recombination inhibitory protein MutS2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03563,136,79,83,704,327,308,354,620,1313,906,136,632,"fig|536231.75.peg.3719|RIL182_03563   Two-component transcriptional response regulator, OmpR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03564,970,932,1288,1711,989,1292,911,2016,3788,2468,836,1906,"fig|536231.75.peg.3720|RIL182_03564   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03565,230,184,180,186,198,227,368,403,156,69,20,112,"fig|536231.75.peg.3721|RIL182_03565   abortive infection protein, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
