,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_03594,1605.202,1801.679,2844.598,769.782,1065.564,989.246,422.772,808.946,322,25038.708,18393.331,33040.703,70720.317,59476.91,72531.11,"fig|536231.75.peg.3752|RIL182_03594   LSU ribosomal protein L6p (L9e)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3753   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",37.542,148.506,210.817,67.288,75.598,59.57,51,31.011,33,372.746,388.432,510.948,3034.376,3129.125,3071.681,"fig|536231.75.peg.3753   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03595,1911.693,2190.2,3294.846,814.059,1309.403,1181.997,221,509.294,204,10217.299,6689.027,13957.185,58258.719,45736.173,55778.207,"fig|536231.75.peg.3754|RIL182_03595   SSU ribosomal protein S8p (S15Ae)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03596,448.321,473.823,683.74,220.964,242.107,305.336,171.699,217.407,67.824,4589.362,3363.934,6451.773,13248.9,12277.733,14751.226,"fig|536231.75.peg.3755|RIL182_03596   SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03597,2746.444,3686.471,5427.443,1059.689,1514.892,1486.097,452.301,917.288,379.176,25045.025,19029.742,32012.935,86831.59,65443.259,77544.813,"fig|536231.75.peg.3756|RIL182_03597   LSU ribosomal protein L5p (L11e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03598,698.409,1056.49,1546.9,650,850,689.161,373,216.184,201,4675.686,6349.309,5014.786,21902.307,19319.558,18046.889,"fig|536231.75.peg.3757|RIL182_03598   LSU ribosomal protein L24p (L26e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03599,1329.591,2423.842,3711.1,757.617,1133,846.839,2017.318,2099.815,1696,116587.632,122023.597,148175.214,101819.654,91037.424,95980.613,"fig|536231.75.peg.3758|RIL182_03599   LSU ribosomal protein L14p (L23e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03600,920.708,1110.464,1590.803,656.727,688.321,678.485,528.289,241.861,253,15858.616,17651.398,19043.262,73927.871,77723.905,76779.114,"fig|536231.75.peg.3759|RIL182_03600   SSU ribosomal protein S17p (S11e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03601,739.35,839.421,1106.961,270.726,434.96,331.811,190.763,374.483,119.79,9079.34,8249.298,12156.031,39244.647,32308.394,36073.207,"fig|536231.75.peg.3760|RIL182_03601   LSU ribosomal protein L29p (L35e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03602,1668.942,2593.343,4095.263,905.93,1234.721,947.704,691.629,1058.656,512.21,22618.62,17435.483,31128.998,64927.123,49381.209,56361.302,"fig|536231.75.peg.3761|RIL182_03602   LSU ribosomal protein L16p (L10e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03603,1968,2978.546,4953.08,1166.956,1800.863,1576.271,659,969,729,25672.756,21464.244,30473.497,80090.518,66993.197,75454.124,"fig|536231.75.peg.3762|RIL182_03603   SSU ribosomal protein S3p (S3e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03604,800,2001.893,2995.895,755.044,950.135,915.998,266,114,163,4154.415,3889.983,4142.601,34681.878,33265.858,32738.059,"fig|536231.75.peg.3763|RIL182_03604   LSU ribosomal protein L22p (L17e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03605,980,1411,2182.998,535,740,682.731,106,40,29,1553,1564.631,1452.386,18042.361,15305.476,16139.814,"fig|536231.75.peg.3764|RIL182_03605   SSU ribosomal protein S19p (S15e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03606,4871.991,6725.612,11501.002,2054.78,3167.134,2785,1145.602,2112.723,1017,48263.993,35406.883,66186.429,126840.685,93008.681,118874.984,"fig|536231.75.peg.3765|RIL182_03606   LSU ribosomal protein L2p (L8e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03607,1132.895,1857.114,2980.233,328.251,509.666,378.231,290.731,369.914,206,13586.247,13832.407,17557.86,31385.859,27545.5,30987.812,"fig|536231.75.peg.3766|RIL182_03607   LSU ribosomal protein L23p (L23Ae)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03608,1476.114,2283.707,3855.766,851.969,1044.2,931.769,422.666,608.364,301,15636.76,12362.768,21998.936,58922.098,49867.863,60453.329,"fig|536231.75.peg.3767|RIL182_03608   LSU ribosomal protein L4p (L1e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03609,2487,3723,6252,1304,1695,1463,544,708.217,310,20696,19427,26439.007,85973,70503,82418,"fig|536231.75.peg.3768|RIL182_03609   LSU ribosomal protein L3p (L3e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03610,775,938,1525,473,518,571,263,355.783,209,10949,8275,13958.993,28837,23139,26978.713,"fig|536231.75.peg.3769|RIL182_03610   SSU ribosomal protein S10p (S20e)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3770   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3770   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03611,327,468,576,54,78,68,0,11,0,510,484,841,2071,1441,1779,"fig|536231.75.peg.3771|RIL182_03611   Trk potassium uptake system protein TrkA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03612,274,409,532,52,67,40,41,58,20,414,477,699,2175,1414,1716,"fig|536231.75.peg.3772|RIL182_03612   Trk potassium uptake system protein TrkH   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03613,301,374,486,24,54,27,39,37,41,747,924,893,1958,1460,1788,"fig|536231.75.peg.3773|RIL182_03613   SAM-dependent methyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03614,196,308,463,53,56,48,19,22,56,688,569,804,1342,930,1119,"fig|536231.75.peg.3774|RIL182_03614   Magnesium and cobalt transport protein CorA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03615,36,156,240,46,14,8,0,0,0,54,13,25,253,143,232,"fig|536231.75.peg.3775|RIL182_03615   Acetyltransferase, GNAT family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03616,24,36,37,2,1,3,0,0,0,56,65,41,401,304,210,"fig|536231.75.peg.3776|RIL182_03616   ThMPase type I predicted   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03617,0,4,5,0,4,0,0,0,0,11,10,13,37,17,20,"fig|536231.75.peg.3777|RIL182_03617   Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03618,23,25,43,0,0,8,0,0,0,23,25,9,166,116,122,"fig|536231.75.peg.3778|RIL182_03618   Hydroxyethylthiazole kinase (EC 2.7.1.50)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3779   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,"fig|536231.75.peg.3779   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03619,139,226,286,48,48,38,0,15,0,228,262,388,1728,1146,1380,"fig|536231.75.peg.3780|RIL182_03619   Membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03620,545,956,1477,289,336,276,76,188,107,2783,2135,2654,5604,4113,4760,"fig|536231.75.peg.3781|RIL182_03620   Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03621,2561,3817,5196,749,938,832,408,609,341,7095,5967,7998,18458,13539,14697,"fig|536231.75.peg.3782|RIL182_03621   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03623,2,9,2,0,1,1,0,4,0,50,24,33,215,152,132,"fig|536231.75.peg.3783|RIL182_03623   exodeoxyribonuclease-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03624,135,147,188,31,21,28,22,35,18,390,424,572,2466,1985,2202,"fig|536231.75.peg.3784|RIL182_03624   Oxidoreductase, short-chain dehydrogenase/reductase family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03625,309,500,649,80,132,82,31,11,21,715,757,1035,1958,1347,1472,"fig|536231.75.peg.3785|RIL182_03625   Limit dextrin alpha-1,6-maltotetraose-hydrolase (EC 3.2.1.196)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03626,132,245,269,13,46,23,40,35,0,254,192,212,367,321,338,"fig|536231.75.peg.3786|RIL182_03626   L-fuculose phosphate aldolase (EC 4.1.2.17)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03627,58,62,54,12,14,7,9,0,0,90,54,52,1043,657,692,"fig|536231.75.peg.3787|RIL182_03627   rhamnogalacturonan acetylesterase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03628,9,7,16,0,0,2,15,0,0,0,7,1,25,0,4,"fig|536231.75.peg.3788|RIL182_03628   Uncharacterized protein Closa_1602   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03629,269,528,790,41,44,57,33,11,17,304,276,367,648,592,608,"fig|536231.75.peg.3789|RIL182_03629   Putative membrane-spanning protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03630,207,310,444,36,60,52,25,69,0,459,242,587,676,511,655,"fig|536231.75.peg.3790|RIL182_03630   probable glucanotransferase (endo alpha-1,4 polygalactosaminidase related protein)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03631,326,447,693,49,77,29,6,15,11,734,574,641,857,451,642,"fig|536231.75.peg.3791|RIL182_03631   Permease of the drug/metabolite transporter (DMT) superfamily   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3792   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3792   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03632,1273.968,2466.738,5480.259,53,48,37,28,141,60,2103,1520,2441,1306,1060,1180,"fig|536231.75.peg.3793|RIL182_03632   Integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03633,66,107.382,126,17,14,6,19,63,11,510,327,373,436,251,338,"fig|536231.75.peg.3794|RIL182_03633   FIG01032572: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03634,0,3,2,0,0,0,0,0,0,0,0,0,6,0,0,"fig|536231.75.peg.3795|RIL182_03634   FIG00519444: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03635,0,1,0,0,0,0,0,0,10,0,0,0,0,2,0,"fig|536231.75.peg.3796|RIL182_03635   FIG00533143: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3797   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,"fig|536231.75.peg.3797   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3798   FIG00517494: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,3,11,0,0,0,0,0,0,11,14,3,29,43,65,"fig|536231.75.peg.3798   FIG00517494: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03638,2,7,11,0,17,0,0,0,1,122,66,55,131,104,136,"fig|536231.75.peg.3799|RIL182_03638   FIG01032562: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03639,193,192,188,32,20,39,27,122,30,1884,1338,2451,3978,2598,3098,"fig|536231.75.peg.3800|RIL182_03639   ABC transporter-coupled two-component system, fused permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03640,40,62,40,5,8,4,14,16,0,224,168,207,606,410,532,"fig|536231.75.peg.3801|RIL182_03640   ABC transporter-coupled two-component system, ATP-binding protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03641,44,83,65,7,13,5,0,9,0,168,152,186,442,499,446,"fig|536231.75.peg.3802|RIL182_03641   ABC transporter-coupled two-component system, signal transduction histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03642,68,65,94,4,7,2,10,9,0,171,92,422,216,190,141,"fig|536231.75.peg.3803|RIL182_03642   ABC transporter-coupled two-component system, LuxR family response regulator   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3804   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3804   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03643,12,15,10,0,0,0,0,0,0,58,24,53,82,85,38,"fig|536231.75.peg.3805|RIL182_03643   FIG01032573: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03644,221,412,405,16,47,24,38,28,0,900,758,1044,1466,1128,1484,"fig|536231.75.peg.3806|RIL182_03644   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03645,49,64.438,90,5,9,4,0,12.002,10,108,158,108,331.999,246,271.697,"fig|536231.75.peg.3807|RIL182_03645   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03646,27,26.562,28,0,0,0,0,16.998,0,28,26,33,27.001,54,19.303,"fig|536231.75.peg.3808|RIL182_03646   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03647,0,0,0,0,0,0,0,0,0,0,0,0,18,15,18,"fig|536231.75.peg.3809|RIL182_03647   FIG00524218: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03648,107,316,358,15,17,30,29,74,13,979,608,1007,1235,1049,1088,"fig|536231.75.peg.3810|RIL182_03648   Adenosine deaminase-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03649,0,0,0,0,0,0,0,0,0,0,9,0,17,0,20,"fig|536231.75.peg.3811|RIL182_03649   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03650,6,7,11,0,6,9,0,0,0,86,126,64,505,206,354,"fig|536231.75.peg.3812|RIL182_03650   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3813   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.3813   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03651,0,1,0,0,0,0,0,0,0,0,0,15,5,15,0,"fig|536231.75.peg.3814|RIL182_03651   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03652,0,2,1,0,3,1,0,0,0,32,47,49,203,212,140,"fig|536231.75.peg.3815|RIL182_03652   TnpY-like protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03653,2,14,7,11,10,5,0,18,5,147,222,289,424,389,460,"fig|536231.75.peg.3816|RIL182_03653   Integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03654,0,1,0,2,0,0,0,0,0,0,21,9,7,28,17,"fig|536231.75.peg.3817|RIL182_03654   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03655,11,33,46,3,6,1,0,0,0,46,54,39,132,76,143,"fig|536231.75.peg.3818|RIL182_03655   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03656,16441,27434,49034,4629,5406,5163,1367,3205,1773,58883,48175,78495,72689,55632.789,73867,"fig|536231.75.peg.3819|RIL182_03656   Translation elongation factor Tu   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03657,12101,17471,29552,5222,6589,6273,2534,4293,2075,79794,74700,89521,68723.598,46292,62046.51,"fig|536231.75.peg.3820|RIL182_03657   Translation elongation factor G   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03658,1450.307,2079,3283,1130.337,1266.23,1150,315.993,420,232,6037.503,6260.136,7653.326,32197.245,27953,31967,"fig|536231.75.peg.3821|RIL182_03658   SSU ribosomal protein S7p (S5e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03659,3029.693,3732,6522,1454.663,1933.77,1860,1134.007,1706,1277,29105.497,21494.864,37496.012,35594.755,29116,33898.416,"fig|536231.75.peg.3822|RIL182_03659   SSU ribosomal protein S12p (S23e)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3823   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",1,0,0,0,0,0,0,0,0,0,7,0,16,4,0,"fig|536231.75.peg.3823   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03660,7874.196,10052,15358,3449,4535,4247,1213,1910,936,18519,17362,24180,46825,32220,40590,"fig|536231.75.peg.3824|RIL182_03660   DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03661,4932,6458,8820,2644,3464,3169,1532,2736,1287,34848,27298,40989,64056,46551,56921,"fig|536231.75.peg.3825|RIL182_03661   DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03673,282,1154,1695,270.105,188,168,175,81,37,1422.964,3778.043,1657.034,17204.13,15714,15218.004,"fig|536231.75.peg.3826|RIL182_03673   LSU ribosomal protein L7p/L12p (P1/P2)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03674,2674,3925,7122,2191.895,2122,2273,2050,2453,1591,69448.036,58766.957,89008.966,169970.369,141846,172228.267,"fig|536231.75.peg.3827|RIL182_03674   LSU ribosomal protein L10p (P0)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03675,2816,4473.789,7777,1319.492,1644,1331.872,1256,1827,931,41938.182,36351.586,55774.509,73081.132,53844.245,64473.054,"fig|536231.75.peg.3828|RIL182_03675   LSU ribosomal protein L1p (L10Ae)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03676,1359.968,1882.907,3217.663,626.698,711.285,671.778,240,361.174,227.669,4598.343,3605.962,5721.666,26021.165,23995.733,26645.721,"fig|536231.75.peg.3829|RIL182_03676   LSU ribosomal protein L11p (L12e)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03677,2089.628,2612.565,4649.086,679.655,874.622,857.909,749.77,1271.54,563.488,26410.891,17715.191,29327.532,33994.117,22208.193,29214.961,"fig|536231.75.peg.3830|RIL182_03677   Transcription antitermination protein NusG   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03678,715.405,909.281,1584.442,143.015,328.097,274.441,165.23,238.286,73.843,5580.095,5319.144,6314.878,7071.499,5541.467,6869.19,"fig|536231.75.peg.3831|RIL182_03678   Protein translocase subunit SecE   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.3832   LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent   [Roseburia intestinalis L1-82 | 536231.75]
",404,310.458,494.81,174.14,199.996,186,28,20,31,351.489,211.117,286.416,4331.087,3460.362,3516.426,"fig|536231.75.peg.3832   LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03679,364,522,580,215,252,218,141,273,177,6357,4652,6811,23826,17432,19605,"fig|536231.75.peg.3833|RIL182_03679   Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03680,44,77,88,11,19,5,2,0,0,224,118,266,601,404,620,"fig|536231.75.peg.3834|RIL182_03680   CgeB family protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03681,95,216,187,10,14,24,0,15,21,182,181,157,761,501,652,"fig|536231.75.peg.3835|RIL182_03681   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03682,90,146,149,6,16,18,13,28,15,520,576,698,1064,938,1001,"fig|536231.75.peg.3836|RIL182_03682   N-acetylhexosamine 1-kinase (EC 2.7.1.162)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03683,66,90,113,3,14,13,5,0,54,214,239,203,873,606,729,"fig|536231.75.peg.3837|RIL182_03683   Glycosyl transferase, family 2   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03684,87,191,229,21,28,16,15,21,23,700,473,636,1326,932,1195,"fig|536231.75.peg.3838|RIL182_03684   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03685,137,307,349,7,8,14,0,13,16,223,125,207,372,338,405,"fig|536231.75.peg.3839|RIL182_03685   Glycosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03686,45,29,39,16,24,22,8,16,11,459,329,444,2089,1722,1736,"fig|536231.75.peg.3840|RIL182_03686   Methionyl-tRNA formyltransferase (EC 2.1.2.9)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03687,55,54,53,24,34,14,6,61,48,815,939,1137,3529,2693,2550,"fig|536231.75.peg.3841|RIL182_03687   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03688,85,188,166,64,59,77,255,319,162,5338,5518,5868,10220,6943,7473,"fig|536231.75.peg.3842|RIL182_03688   dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03689,203,293,219,43,56,68,64,61,63,6168,5123,7881,11280,8183,9764,"fig|536231.75.peg.3843|RIL182_03689   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03690,367,1916,1541,467,280,307,220,372,249,6567,6482,6293,19505.403,17199,15115,"fig|536231.75.peg.3844|RIL182_03690   Flagellin protein FlaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03691,347,513,677,208,202,317,255,328,179,7353,6829,8698,24654,19780,22026,"fig|536231.75.peg.3845|RIL182_03691   Aminotransferase, DegT/DnrJ/EryC1/StrS family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03692,163,294,290,112,205,168,321,221,290,5241,5208,5380,13581.502,9214,9660.468,"fig|536231.75.peg.3846|RIL182_03692   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03693,161,365,458,154,260,171,229,191,220,5677,5343,6093,27073,18261,20294,"fig|536231.75.peg.3847|RIL182_03693   N-acetylneuraminate synthase (EC 2.5.1.56)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03694,54,70,64,73,66,113,118,136,65,2063,2714,2019,16523,12493,12557.631,"fig|536231.75.peg.3848|RIL182_03694   capsular polysaccharide biosynthesis protein, putative   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03695,48,115,176,97,98,116,179,54,155,2187,2330,2083,15991,10991,11714.252,"fig|536231.75.peg.3849|RIL182_03695   Streptomycin biosynthesis StrF domain protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03697,5,1,3,5,4,0,19,19,18,404,408,659,53,74,92,"fig|536231.75.peg.3851|RIL182_03697   Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03698,154,206,228,135,124,114,703,807,595,21991,18234,24632,28270,21357,24518.274,"fig|536231.75.peg.3852|RIL182_03698   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03699,206,340,334,176,178,276,253,307,288,6577,6019,7591,41951,29907.86,31803,"fig|536231.75.peg.3853|RIL182_03699   Phosphocholine cytidylyltransferase (EC 2.7.7.15) / Aspartate aminotransferase (EC 2.6.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03700,20,16,7,36,25,21,0,5,0,140,160,110,3041,2132,1578,"fig|536231.75.peg.3854|RIL182_03700   SAM-dependent methyltransferases   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03701,87,108,101,47,72,59,121,190,92,4536,5405,5141,14178,9822,10273,"fig|536231.75.peg.3855|RIL182_03701   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03702,122,246,235,87,171,120,311,367,197,8041,7580,8004,21718,13866,15306.56,"fig|536231.75.peg.3856|RIL182_03702   Beta-1,3-glucosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03703,183,258,276.456,88,158,156,283,138,43,4426,4316,3960,21318.765,14470.516,16662.187,"fig|536231.75.peg.3857|RIL182_03703   4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03704,19,35,38.544,13,20,26,43,4,12,597,543,426,5038.023,3780.492,3747.524,"fig|536231.75.peg.3858|RIL182_03704   dTDP-6-deoxy-3,4-keto-hexulose isomerase (EC 5.3.2.3)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03705,20,37,26,15,18,19,31,22,24,817,707,887,2163.212,1979.992,1795.897,"fig|536231.75.peg.3859|RIL182_03705   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03706,4,1,0,5,5,5,0,0,0,17,39.648,25,365,372.295,302.392,"fig|536231.75.peg.3860|RIL182_03706   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03707,157,365,252,94,172,118,129,73,63,2015,2009.352,2496,12057,8617.705,8816,"fig|536231.75.peg.3861|RIL182_03707   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03708,321,470,599,131,204,239,281,356,199,7346,5920,8269,17023,10773,12437,"fig|536231.75.peg.3862|RIL182_03708   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03709,265,567.053,732,134,280,101,185,219,47,6492,6415.871,5662,10231,7440,8053.363,"fig|536231.75.peg.3863|RIL182_03709   N-acylneuraminate cytidylyltransferase (EC 2.7.7.43)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03710,346,2078.947,1576,142,98,85,56,10,38,1082,1355.129,1101,3674,3136,2764.637,"fig|536231.75.peg.3864|RIL182_03710   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03711,47,71,133,31,58,60,33,10,21,697,1187,706,5442,3940,3958,"fig|536231.75.peg.3865|RIL182_03711   Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03712,218,269,366,164,275,264,123,96,126,3138,2935,3097.781,17558,12531,13921,"fig|536231.75.peg.3866|RIL182_03712   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03713,171,153,182,38,51,57,30,13,16,331,293,307,1585,1229,1260,"fig|536231.75.peg.3867|RIL182_03713   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_03714,111,194,259,99,189,178,117,143,39,2807,2445,3049,11060,8422.491,8368,"fig|536231.75.peg.3868|RIL182_03714   Beta-1,3-glucosyltransferase   [Roseburia intestinalis L1-82 | 536231.75]
"
