,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
3186,RIL182_03216,Serine protease%2C DegP/HtrA%2C do-like (EC 3.4.21.-),ko:K04771,3.4.21.107,COG0265,PDZ DHR GLGF domain protein,O
3187,RIL182_03217,hypothetical protein,-,-,2DSN8,-,-
3188,RIL182_03218,O antigen biosynthesis rhamnosyltransferase rfbN (EC 2.4.1.-),ko:K12992,-,COG1216,"Glycosyltransferase, group 2 family protein",S
3189,RIL182_03219,Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2,-,-,COG1316,Cell envelope-like function transcriptional attenuator common domain protein,K
3190,RIL182_03220,Capsular polysaccharide biosynthesis protein,ko:K00996,2.7.8.6,COG2148,Exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase,M
3191,RIL182_03221,Glycosyl transferase,ko:K07011,-,COG1216,"Glycosyltransferase, group 2 family protein",M
3192,RIL182_03222,Glycosyl transferase%2C group 2 family,ko:K20444,-,COG1215,"Glycosyltransferase, group 2 family protein",M
3193,RIL182_03223,hypothetical protein,-,-,2E96G,-,-
3194,RIL182_03224,Glycosyl transferase%2C group 2 family,ko:K20444,-,COG0463,"Glycosyltransferase, group 2 family protein",M
3195,RIL182_03225,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),ko:K00012,1.1.1.22,COG1004,UDP binding domain,M
3196,RIL182_03226,Metallo-beta-lactamase superfamily,-,-,COG2333,Metallo-beta-lactamase superfamily,S
3197,RIL182_03227,peptidase M56%2C BlaR1,NA,NA,NA,NA,NA
3198,RIL182_03228,transcriptional repressor%2C CopY family,-,-,COG3682,"negative regulation of transcription, DNA-templated",K
3199,RIL182_03229,Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8),ko:K00971,2.7.7.13,COG0836,PFAM Nucleotidyl transferase,M
3200,RIL182_03230,GDP-L-fucose synthetase (EC 1.1.1.271),ko:K02377,1.1.1.271,COG0451,"Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction",GM
3201,RIL182_03231,GDP-mannose 4%2C6-dehydratase (EC 4.2.1.47),ko:K01711,4.2.1.47,COG1089,Catalyzes the conversion of GDP-D-mannose to GDP-4- dehydro-6-deoxy-D-mannose,M
3202,RIL182_03232,DNA-binding response regulator%2C AraC family,-,-,COG2207,transcriptional regulator (AraC family),K
3203,RIL182_03233,hypothetical protein,-,-,COG3594,Acyltransferase family,G
3204,RIL182_03234,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4),ko:K01953,6.3.5.4,COG0367,Asparagine synthase,E
3205,RIL182_03235,N-acetylmannosaminyltransferase (EC 2.4.1.187),ko:K05946,2.4.1.187,COG1922,Belongs to the glycosyltransferase 26 family,M
3206,RIL182_03236,glycosyltransferase family 23,-,-,2DMX9,-,-
3207,RIL182_03237,Phospholipid-lipopolysaccharide ABC transporter,-,-,COG1132,ABC transporter transmembrane region,V
3208,RIL182_03238,alpha-1%2C2-fucosyltransferase,-,-,arCOG09486,Glycosyl transferase family 11,S
3209,RIL182_03239,hypothetical protein,NA,NA,NA,NA,NA
3210,RIL182_03240,hypothetical protein,NA,NA,NA,NA,NA
3211,RIL182_03241,UbiA polyprenyltransferase family protein,-,-,COG0382,PFAM UbiA prenyltransferase,H
3212,RIL182_03242,hypothetical protein,-,-,28PI9,Glucosyl transferase GtrII,S
3213,RIL182_03243,hypothetical protein,-,-,2DBCR,-,-
3214,RIL182_03244,hypothetical protein,NA,NA,NA,NA,NA
3215,RIL182_03245,Putative inner membrane protein,NA,NA,NA,NA,NA
3216,RIL182_03246,Membrane protein,NA,NA,NA,NA,NA
3217,RIL182_03247,Galactofuranose transferase,-,-,COG0438,"transferase activity, transferring glycosyl groups",M
3218,RIL182_03248,Polysaccharide biosynthesis protein CpsH(V),NA,NA,NA,NA,NA
3219,RIL182_03249,hypothetical protein,NA,NA,NA,NA,NA
3220,RIL182_03250,hypothetical protein,-,-,COG1470,Protein of unknown function (DUF3048) C-terminal domain,D
3221,RIL182_03251,Transglutaminase-like predicted protease domain fused ChW-repeats and cell-adhesion domain,-,-,COG5279,COG3209 Rhs family protein,D
3222,RIL182_03252,Bactoprenol glucosyl transferase (EC 2.4.1.-),ko:K20534,-,COG0463,PFAM Glycosyl transferase family 2,M
3223,RIL182_03253,Uncharacterized glycosyltransferase YkoT,-,-,COG0463,Glycosyl transferase family 2,M
3224,RIL182_03254,Teichoic acid glycosylation protein,-,-,COG2246,"Psort location CytoplasmicMembrane, score",S
3225,RIL182_03255,Small acid-soluble spore protein%2C beta-type SASP,ko:K06421,-,2BX75,"'small, acid-soluble spore protein",S
3226,RIL182_03256,DJ-1/YajL/PfpI superfamily%2C includes chaperone protein YajL (former ThiJ)%2C parkinsonism-associated protein DJ-1%2C peptidases PfpI%2C Hsp31,ko:K03152,3.5.1.124,COG0693,DJ-1 family,S
3227,RIL182_03257,hypothetical protein,-,-,COG2954,"Psort location Cytoplasmic, score",S
3228,RIL182_03258,hypothetical protein,-,-,COG2263,"Psort location Cytoplasmic, score",J
3229,RIL182_03259,hypothetical protein,-,-,COG4728,"Psort location Cytoplasmic, score",K
3230,RIL182_03260,FIG01020164: hypothetical protein,NA,NA,NA,NA,NA
3231,RIL182_03261,KtrAB potassium uptake system%2C integral membrane component KtrB,ko:K03498,-,COG0168,"Psort location CytoplasmicMembrane, score 10.00",P
3232,RIL182_03262,KtrAB potassium uptake system%2C peripheral membrane component KtrA,ko:K03499,-,COG0569,TrkA-N domain,P
3233,RIL182_03263,Fe-S oxidoreductase,ko:K07079,-,COG1453,aldo keto reductase,C
3234,RIL182_03264,Cytidylate kinase (EC 2.7.4.25),-,-,COG1102,"Psort location Cytoplasmic, score",F
3235,RIL182_03265,Branched-chain amino acid ABC transporter%2C ATP-binding protein LivF (TC 3.A.1.4.1),ko:K01996,-,COG0410,Abc transporter,E
3236,RIL182_03266,Branched-chain amino acid ABC transporter%2C ATP-binding protein LivG (TC 3.A.1.4.1),ko:K01995,-,COG0411,Abc transporter,E
3237,RIL182_03267,Branched-chain amino acid ABC transporter%2C permease protein LivM (TC 3.A.1.4.1),ko:K01998,-,COG4177,Belongs to the binding-protein-dependent transport system permease family,E
3238,RIL182_03268,Branched-chain amino acid ABC transporter%2C permease protein LivH (TC 3.A.1.4.1),ko:K01997,-,COG0559,Belongs to the binding-protein-dependent transport system permease family,E
3239,RIL182_03269,Branched-chain amino acid ABC transporter%2C substrate-binding protein LivJ (TC 3.A.1.4.1),ko:K01999,-,COG0683,PFAM Extracellular ligand-binding receptor,E
3240,RIL182_03270,hypothetical protein,NA,NA,NA,NA,NA
3241,RIL182_03271,hypothetical protein,NA,NA,NA,NA,NA
3242,RIL182_03272,Oligopeptide ABC transporter%2C ATP-binding protein OppF (TC 3.A.1.5.1),"ko:K02032,ko:K10823",-,COG4608,Belongs to the ABC transporter superfamily,P
3243,RIL182_03273,Oligopeptide ABC transporter%2C ATP-binding protein OppD (TC 3.A.1.5.1),ko:K02031,-,COG0444,Belongs to the ABC transporter superfamily,P
3244,RIL182_03274,Dipeptide ABC transporter%2C permease protein DppC (TC 3.A.1.5.2),ko:K02034,-,COG1173,ABC-type dipeptide oligopeptide nickel transport,P
3245,RIL182_03275,Oligopeptide ABC transporter%2C permease protein OppB (TC 3.A.1.5.1),ko:K02033,-,COG0601,PFAM binding-protein-dependent transport systems inner membrane component,P
3246,RIL182_03276,Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1),"ko:K02035,ko:K15584",-,COG0747,"Extracellular solute-binding protein, family 5",E
3247,RIL182_03277,hypothetical protein,-,-,2C1ED,-,-
3248,RIL182_03278,Methyl-accepting chemotaxis protein,-,-,COG0840,PilZ domain,NT
3249,RIL182_03279,Methyl-accepting chemotaxis protein,ko:K03406,-,COG0840,methyl-accepting chemotaxis protein,NT
3250,RIL182_03280,tRNA-Leu,NA,NA,NA,NA,NA
3251,RIL182_03281,ATPase component NikO of energizing module of nickel ECF transporter,ko:K02006,-,COG1122,"AAA domain, putative AbiEii toxin, Type IV TA system",P
3252,RIL182_03282,Transmembrane component NikQ of energizing module of nickel ECF transporter,ko:K02008,-,COG0619,"Cobalt ABC transporter, permease",P
3253,RIL182_03283,Substrate-specific component NikM of nickel ECF transporter / Additional substrate-specific component NikN of nickel ECF transporter,ko:K02007,-,COG0310,PDGLE domain,P
3254,RIL182_03284,dTDP-4-dehydrorhamnose 3%2C5-epimerase (EC 5.1.3.13),ko:K01790,5.1.3.13,COG1898,"Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose",M
3255,RIL182_03285,tRNA-Lys-TTT,NA,NA,NA,NA,NA
3256,RIL182_03286,tRNA-Gln-TTG,NA,NA,NA,NA,NA
3257,RIL182_03287,tRNA-His,NA,NA,NA,NA,NA
3258,RIL182_03288,tRNA-Arg,NA,NA,NA,NA,NA
3259,RIL182_03289,tRNA-Gly,NA,NA,NA,NA,NA
3260,RIL182_03290,tRNA-Pro,NA,NA,NA,NA,NA
3261,RIL182_03291,FIG009886: phosphoesterase,ko:K07095,-,COG0622,Phosphoesterase,S
3262,RIL182_03292,Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific) (EC 3.6.1.66),ko:K02428,3.6.1.66,COG0127,"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions",F
3263,RIL182_03293,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),ko:K01448,3.5.1.28,COG0860,PFAM cell wall hydrolase autolysin,M
3264,RIL182_03294,Cell surface protein,-,-,COG4870,Papain family cysteine protease,O
3265,RIL182_03295,23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173),ko:K07444,-,COG0116,Belongs to the methyltransferase superfamily,L
3266,RIL182_03296,Rhodanese-related sulfurtransferase,-,-,COG0607,"Psort location Cytoplasmic, score",P
3267,RIL182_03297,hypothetical protein,NA,NA,NA,NA,NA
3268,RIL182_03298,hypothetical protein,-,-,COG0664,#NAME?,T
3269,RIL182_03299,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),"ko:K01598,ko:K13038","4.1.1.36,6.3.2.5",COG0452,"Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine",H
3270,RIL182_03300,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49),-,-,COG3344,Reverse transcriptase,L
3271,RIL182_03301,tRNA-Arg,NA,NA,NA,NA,NA
3272,RIL182_03302,tRNA-Leu,NA,NA,NA,NA,NA
3273,RIL182_03303,tRNA-Val,NA,NA,NA,NA,NA
3274,RIL182_03304,tRNA-Asp,NA,NA,NA,NA,NA
3275,RIL182_03305,tRNA-Met,NA,NA,NA,NA,NA
3276,RIL182_03306,tRNA-Thr,NA,NA,NA,NA,NA
3277,RIL182_03307,tRNA-Glu,NA,NA,NA,NA,NA
3278,RIL182_03308,tRNA-Asn,NA,NA,NA,NA,NA
3279,RIL182_03309,LSU rRNA ## 23S rRNA%2C large subunit ribosomal RNA,NA,NA,NA,NA,NA
3280,RIL182_03310,tRNA-Ala,NA,NA,NA,NA,NA
3281,RIL182_03311,tRNA-Ile,NA,NA,NA,NA,NA
3282,RIL182_03312,5S ribosomal RNA,NA,NA,NA,NA,NA
3283,RIL182_03313,SSU rRNA ## 16S rRNA%2C small subunit ribosomal RNA,NA,NA,NA,NA,NA
3284,RIL182_03314,tRNA-Ser,NA,NA,NA,NA,NA
3285,RIL182_03315,tRNA-Ser,NA,NA,NA,NA,NA
3286,RIL182_03316,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60),ko:K00991,2.7.7.60,COG1211,Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP),I
3287,RIL182_03317,N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234),ko:K01409,2.3.1.234,COG0533,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",O
3288,RIL182_03318,FIG00645371: hypothetical protein,-,-,2CB94,-,-
3289,RIL182_03319,Ribonuclease Z (EC 3.1.26.11),ko:K00784,3.1.26.11,COG1234,"Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA",S
3290,RIL182_03320,hypothetical protein,-,-,2EJD6,"Psort location Cytoplasmic, score",S
3291,RIL182_03321,Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.128),ko:K03789,2.3.1.128,COG0454,This enzyme acetylates the N-terminal alanine of ribosomal protein S18,K
3292,RIL182_03322,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,ko:K14742,-,COG1214,Universal bacterial protein YeaZ,O
3293,RIL182_03323,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,ko:K06925,-,COG0802,"Hydrolase, P-loop family",K
3294,RIL182_03324,hypothetical protein,-,-,2AZ5D,YcxB-like protein,S
3295,RIL182_03325,Substrate-specific component RibU of riboflavin ECF transporter,-,-,COG3601,"Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins",S
3296,RIL182_03326,Transcription accessory protein (S1 RNA-binding domain),ko:K06959,-,COG2183,Tex-like protein N-terminal domain,K
3297,RIL182_03327,hypothetical protein,-,-,2EGCD,-,-
3298,RIL182_03328,hypothetical protein,-,-,2DNZJ,Protein of unknown function (DUF2752),S
3299,RIL182_03329,Integral membrane protein,-,-,COG5523,Protein of unknown function (DUF975),S
3300,RIL182_03330,Uracil permease,ko:K02824,-,COG2233,permease,F
3301,RIL182_03331,Integral membrane protein,-,-,COG4758,membrane,S
3302,RIL182_03332,Response regulator of the LytR/AlgR family,-,-,COG3279,LytTr DNA-binding domain,KT
3303,RIL182_03333,Iron-sulfur cluster carrier protein%2C CA_C2982 type,-,-,COG0489,Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,D
3304,RIL182_03334,S-methyl-5-thioribose-1-phosphate isomerase (EC 5.3.1.23),ko:K08963,5.3.1.23,COG0182,Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P),J
3305,RIL182_03335,hypothetical protein,NA,NA,NA,NA,NA
3306,RIL182_03336,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily,ko:K21469,3.4.16.4,COG1680,beta-lactamase,V
3307,RIL182_03337,Alanyl-tRNA synthetase family protein,ko:K01872,6.1.1.7,COG0013,tRNA synthetases class II (A),J
3308,RIL182_03338,hypothetical protein,-,-,2FC79,-,-
3309,RIL182_03339,Chorismate mutase I (EC 5.4.99.5) / Shikimate kinase I (EC 2.7.1.71),ko:K00891,2.7.1.71,COG0703,Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate,F
3310,RIL182_03340,TRAP-type transport system%2C periplasmic component%2C predicted N-acetylneuraminate-binding protein,ko:K21395,-,COG1638,"COG COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component",G
3311,RIL182_03341,TRAP-type C4-dicarboxylate transport system%2C large permease component,-,-,COG1593,"Psort location CytoplasmicMembrane, score",G
3312,RIL182_03342,TRAP-type C4-dicarboxylate transport system%2C small permease component,-,-,COG3090,"COG COG3090 TRAP-type C4-dicarboxylate transport system, small permease component",G
3313,RIL182_03343,3-dehydroquinate dehydratase I (EC 4.2.1.10),ko:K03785,4.2.1.10,COG0710,Type I 3-dehydroquinase,E
3314,RIL182_03344,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,-,-,COG0477,"Psort location CytoplasmicMembrane, score 10.00",EGP
3315,RIL182_03345,Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282),ko:K00014,1.1.1.25,COG0169,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",E
3316,RIL182_03346,Transcriptional regulator%2C LysR family,-,-,COG0583,"Psort location Cytoplasmic, score",K
3317,RIL182_03347,Transcriptional regulator%2C LysR family,-,-,COG0583,"Psort location Cytoplasmic, score",K
3318,RIL182_03348,2%2C4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34),-,-,COG0446,NADH flavin oxidoreductase NADH oxidase,C
3319,RIL182_03349,Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282),ko:K00014,1.1.1.25,COG0169,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",E
3320,RIL182_03350,hypothetical protein,-,-,COG0454,"Psort location Cytoplasmic, score 8.87",K
3321,RIL182_03351,Oleate hydratase (EC 4.2.1.53),ko:K10254,4.2.1.53,COG4716,Myosin-crossreactive antigen,S
3322,RIL182_03352,Transcriptional regulator%2C AcrR family,-,-,COG1309,Transcriptional regulator C-terminal region,K
3323,RIL182_03353,alpha-L-arabinofuranosidase (EC 3.2.1.55),ko:K01209,3.2.1.55,COG3534,Alpha-L-arabinofuranosidase C-terminus,G
3324,RIL182_03354,Alpha-arabinosides ABC transport system%2C permease protein AraQ,ko:K17236,-,COG0395,Binding-protein-dependent transport system inner membrane component,G
3325,RIL182_03355,Alpha-arabinosides ABC transport system%2C permease protein AraP,ko:K17235,-,COG1175,Binding-protein-dependent transport system inner membrane component,G
3326,RIL182_03356,Alpha-arabinosides ABC transport system%2C substrate-binding protein AraN,ko:K17234,-,COG1653,Extracellular solute-binding protein,G
3327,RIL182_03357,Putative glycosyl hydrolase of unknown function (DUF1680),ko:K09955,-,COG3533,"Beta-L-arabinofuranosidase, GH127",S
3328,RIL182_03358,Transcriptional regulator%2C LacI family,ko:K02529,-,COG1609,helix_turn _helix lactose operon repressor,K
3329,RIL182_03359,1%2C2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157)%3B diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis),ko:K03429,2.4.1.315,COG0707,Monogalactosyldiacylglycerol synthase,M
3330,RIL182_03360,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3),ko:K08591,2.3.1.15,COG0344,Belongs to the PlsY family,I
3331,RIL182_03361,Methionine aminopeptidase (EC 3.4.11.18),ko:K01265,3.4.11.18,COG0024,Methionine aminopeptidase,E
3332,RIL182_03362,Transamidase GatB domain protein,ko:K09117,-,COG1610,YqeY-like protein,S
3333,RIL182_03363,hypothetical protein,ko:K21471,-,COG0791,NlpC p60 family,M
3334,RIL182_03364,Peptidoglycan-binding LysM,-,-,COG1388,LysM domain,M
3335,RIL182_03365,Veg protein,-,-,COG4466,Protein conserved in bacteria,S
3336,RIL182_03366,FIG01032346: hypothetical protein,-,-,2DD3J,PrcB C-terminal,S
3337,RIL182_03367,Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),ko:K00655,2.3.1.51,COG0204,Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family,I
3338,RIL182_03368,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10),ko:K01929,6.3.2.10,COG0770,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein",M
3339,RIL182_03369,D-alanine--D-alanine ligase (EC 6.3.2.4),ko:K01921,6.3.2.4,COG1181,Belongs to the D-alanine--D-alanine ligase family,F
3340,RIL182_03370,hypothetical protein,NA,NA,NA,NA,NA
3341,RIL182_03371,hypothetical protein,-,-,COG1307,"EDD domain protein, DegV family",T
3342,RIL182_03372,Ribosome hibernation promoting factor Hpf,ko:K05808,-,COG1544,Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase,J
3343,RIL182_03373,hypothetical protein,NA,NA,NA,NA,NA
3344,RIL182_03374,Pyruvate formate-lyase activating enzyme (EC 1.97.1.4),ko:K04069,1.97.1.4,COG1180,"Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine",C
3345,RIL182_03375,Pyruvate formate-lyase (EC 2.3.1.54),ko:K00656,2.3.1.54,COG1882,Glycine radical,C
3346,RIL182_03376,extracellular solute-binding proteins%2C family 3/GGDEF domain protein,-,-,COG2199,PAS fold,T
3347,RIL182_03377,Putative phosphoesterase,ko:K07095,-,COG0622,Phosphoesterase,S
3348,RIL182_03378,Transcriptional regulator%2C ArsR family,-,-,COG4189,"helix_turn_helix, Arsenical Resistance Operon Repressor",K
3349,RIL182_03379,hypothetical protein,-,-,2DPI5,-,-
3350,RIL182_03380,alpha-L-arabinofuranosidase (EC 3.2.1.55),ko:K01209,3.2.1.55,COG3534,Alpha-L-arabinofuranosidase,G
3351,RIL182_03381,alpha-L-arabinofuranosidase II (EC 3.2.1.55),-,-,COG3940,Glycosyl hydrolases family 43,G
3352,RIL182_03382,Sodium/glycine symporter GlyP,ko:K03310,-,COG1115,amino acid carrier protein,E
3353,RIL182_03383,Arabinan endo-1%2C5-alpha-L-arabinosidase (EC 3.2.1.99),ko:K06113,3.2.1.99,COG3507,C-terminal of Glycosyl hydrolases family 43,G
3354,RIL182_03384,tRNA-dihydrouridine synthase BT3326,-,-,COG0042,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines",J
3355,RIL182_03385,Endo-1%2C4-beta-xylanase (EC 3.2.1.8),-,-,COG3209,Listeria-Bacteroides repeat domain (List_Bact_rpt),M
3356,RIL182_03386,Phage infection protein,NA,NA,NA,NA,NA
3357,RIL182_03387,Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 2,ko:K06147,-,COG1132,ABC transporter,V
3358,RIL182_03388,Heterodimeric efflux ABC transporter%2C permease/ATP-binding subunit 1,ko:K06147,-,COG1132,ABC transporter,V
3359,RIL182_03389,Two-component system sensor histidine kinase,ko:K11614,2.7.13.3,COG3290,protein histidine kinase activity,T
3360,RIL182_03390,Response regulator receiver:LytTr DNA-binding region,-,-,COG3279,response regulator,KT
3361,RIL182_03391,Methyl-accepting chemotaxis protein,ko:K03406,-,COG0840,Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).,NT
3362,RIL182_03392,Transcriptional regulator%2C AraC family,-,-,COG0662,"helix_turn_helix, arabinose operon control protein",K
3363,RIL182_03393,Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22),ko:K01621,"4.1.2.22,4.1.2.9",COG3957,D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase,G
3364,RIL182_03394,hypothetical protein,-,-,COG3315,Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity,Q
3365,RIL182_03395,hypothetical protein,-,-,COG3315,Exhibits S-adenosyl-L-methionine-dependent methyltransferase activity,Q
3366,RIL182_03396,Tn916%2C hypothetical protein,-,-,2DP5Q,Cysteine-rich KTR,S
3367,RIL182_03397,hypothetical protein,-,-,COG1309,"Bacterial regulatory proteins, tetR family",K
3368,RIL182_03398,SSU ribosomal protein S9p (S16e),ko:K02996,-,COG0103,Belongs to the universal ribosomal protein uS9 family,J
3369,RIL182_03399,LSU ribosomal protein L13p (L13Ae),ko:K02871,-,COG0102,"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly",J
3370,RIL182_03400,hypothetical protein,-,-,2DPEI,Domain of unknown function (DUF5067),S
3371,RIL182_03401,hypothetical protein,-,-,2EJDK,-,-
3372,RIL182_03402,Serine/threonine protein kinase,-,-,COG0515,Serine threonine protein kinase,KLT
3373,RIL182_03403,hypothetical protein,-,-,2E529,"Psort location Cytoplasmic, score",S
3374,RIL182_03404,tRNA pseudouridine(38-40) synthase (EC 5.4.99.12),ko:K06173,5.4.99.12,COG0101,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",J
3375,RIL182_03405,Transmembrane component of general energizing module of ECF transporters,ko:K16785,-,COG0619,Transmembrane (T) component of an energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates,P
3376,RIL182_03406,ATPase component of general energizing module of ECF transporters,"ko:K16786,ko:K16787",-,COG1122,ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates,P
3377,RIL182_03407,ATPase component of general energizing module of ECF transporters,"ko:K16786,ko:K16787",-,COG1122,ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates,P
3378,RIL182_03408,tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207),ko:K03216,2.1.1.207,COG0219,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily,J
3379,RIL182_03409,Aspartate aminotransferase (EC 2.6.1.1),ko:K10907,-,COG0436,PFAM aminotransferase class I and II,E
3380,RIL182_03410,Transcriptional regulator%2C AsnC family,-,-,COG1522,"transcriptional regulator, AsnC family",K
3381,RIL182_03411,AIR Synthase%2C TMP kinase%2C hydrogenase maturation protein HypE superfamily,ko:K04655,-,COG0309,PFAM AIR synthase related protein,O
3382,RIL182_03412,uncharacterized protein with VanW-like domain,ko:K18346,-,COG2720,PFAM VanW family protein,V
3383,RIL182_03413,hypothetical protein,NA,NA,NA,NA,NA
3384,RIL182_03414,hypothetical protein,-,-,2C456,-,-
3385,RIL182_03415,DNA polymerase III epsilon subunit (EC 2.7.7.7),ko:K03763,2.7.7.7,COG2176,'dna polymerase iii,L
3386,RIL182_03416,Fe-S oxidoreductase,ko:K04034,1.21.98.3,COG1032,Radical SAM domain protein,C
3387,RIL182_03417,UPF0059 membrane protein DSY1211,-,-,COG1971,Probably functions as a manganese efflux pump,P
3388,RIL182_03418,hypothetical protein,ko:K01421,-,COG1511,"Psort location Cellwall, score",J
3389,RIL182_03419,hypothetical protein,ko:K07003,-,COG1033,"Psort location CytoplasmicMembrane, score",S
3390,RIL182_03420,Transcriptional regulator%2C AcrR family,-,-,COG1309,"Psort location Cytoplasmic, score",K
3391,RIL182_03421,GAF domain/HD domain protein,-,-,COG2206,"PFAM metal-dependent phosphohydrolase, HD sub domain",T
3392,RIL182_03422,hypothetical protein,-,-,2E7JQ,"Psort location Cytoplasmic, score 8.87",S
