,gene_id,description,ko,EC_number,cogs,cogs_description
4036,BT_3952,SusC homolog,NA,NA,NA,NA
4037,BT_3953,SusD homolog,NA,NA,NA,NA
4038,BT_3954,hypothetical protein,NA,NA,NA,NA
4039,BT_3955,hypothetical protein,NA,NA,NA,NA
4040,BT_3956,alpha-L-fucosidase-like precursor,K01206,3.2.1.51,COG3669,Carbohydrate transport and metabolism
4041,BT_3957,transcriptional regulator,NA,NA,COG3292,Signal transduction mechanisms
4042,BT_3958,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4043,BT_3959,SusD homolog,NA,NA,NA,NA
4044,BT_3960,alpha-1%2C2-mannosidase-like protein,NA,NA,NA,NA
4045,BT_3961,hypothetical protein,NA,NA,NA,NA
4046,BT_3962,glycoside hydrolase family 92,NA,NA,COG3537,Carbohydrate transport and metabolism
4047,BT_3963,glycoside hydrolase family 92,NA,NA,COG3537,Carbohydrate transport and metabolism
4048,BT_3964,putative secretory protein,NA,NA,NA,NA
4049,BT_3965,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
4050,BT_3966,two-component system response regulator,K02477,NA,COG3279,Transcription
4051,BT_3967,putative two-component system sensor protein histidine kinase,NA,NA,COG3275,Signal transduction mechanisms
4052,BT_3968,cation efflux system protein,K15727,NA,COG0845,Defense mechanisms
4053,BT_3969,cation efflux system protein%2C AcrB/AcrD/AcrF family protein,K15726,NA,COG3696,Inorganic ion transport and metabolism
4054,BT_3970,hypothetical protein,NA,NA,NA,NA
4055,BT_3971,glutathione peroxidase,K00432,1.11.1.9,COG0386,Defense mechanisms
4056,BT_3972,putative NTP pyrophosphohydrolase,NA,NA,COG1443,Lipid transport and metabolism
4057,BT_3973,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,K07568,2.4.99.17,COG0809,"Translation, ribosomal structure and biogenesis"
4058,BT_t64,tRNA-Pro,K14232,NA,NA,NA
4059,BT_3974,putative AraC-family regulatory protein,NA,NA,COG2207,Transcription
4060,BT_3975,3-dehydroquinate synthase,K01735,4.2.3.4,COG0337,Amino acid transport and metabolism
4061,BT_3976,conserved hypothetical protein,NA,NA,NA,NA
4062,BT_3977,TonB-dependent receptor domain protein,NA,NA,COG1629,Inorganic ion transport and metabolism
4063,BT_3978,putative cardiolipin synthetase,K06131,NA,COG1502,Lipid transport and metabolism
4064,BT_3979,putative methyltransferase,NA,NA,COG0742,"Translation, ribosomal structure and biogenesis"
4065,BT_3980,conserved hypothetical protein,NA,NA,NA,NA
4066,BT_3981,conserved hypothetical protein,NA,NA,NA,NA
4067,BT_3982,ATP-dependent exoDNAse (exonuclease V)%2C alpha subunit-helicase superfamily I member,NA,NA,COG0507,"Replication, recombination and repair"
4068,BT_3983,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4069,BT_3984,SusD homolog,NA,NA,NA,NA
4070,BT_3985,conserved hypothetical protein,NA,NA,NA,NA
4071,BT_3986,putative patatin-like protein,NA,NA,NA,NA
4072,BT_3987,endo-beta-N-acetylglucosaminidase F1 precursor,NA,NA,NA,NA
4073,BT_3988,putative peptidoglycan bound protein,NA,NA,NA,NA
4074,BT_3989,hypothetical protein,NA,NA,NA,NA
4075,BT_3990,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
4076,BT_3991,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
4077,BT_3992,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
4078,BT_3993,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
4079,BT_3994,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
4080,BT_3995,alanyl-tRNA synthetase,K01872,6.1.1.7,COG0013,"Translation, ribosomal structure and biogenesis"
4081,BT_3996,putative peptidase,NA,NA,COG0739,Cell wall/membrane/envelope biogenesis
4082,BT_3997,transcriptional regulator,NA,NA,COG0789,Transcription
4083,BT_3998,GTP pyrophosphokinase,K01139,3.1.7.2,COG0317,Transcription
4084,BT_3999,membrane-bound lytic murein transglycosylase D presursor,K08307,NA,COG1388,Cell wall/membrane/envelope biogenesis
4085,BT_4000,conserved hypothetical protein,NA,NA,NA,NA
4086,BT_4001,putative chromosome partitioning protein parB,K03497,NA,COG1475,"Cell cycle control, cell division, chromosome partitioning"
4087,BT_4002,ATPase%2C ParA family,K03496,NA,COG1192,"Cell cycle control, cell division, chromosome partitioning"
4088,BT_4003,stationary-phase survival protein SurE,K03787,3.1.3.6,COG0496,"Replication, recombination and repair"
4089,BT_4004,lipid-A-disaccharide synthase,K00748,2.4.1.182,COG0763,Cell wall/membrane/envelope biogenesis
4090,BT_4005,conserved hypothetical protein,NA,NA,NA,NA
4091,BT_4006,phosphatidate cytidylyltransferase,K00981,2.7.7.41,COG0575,Lipid transport and metabolism
4092,BT_4007,AAA-metalloprotease FtsH%2C with ATPase domain,K03798,NA,COG0465,"Posttranslational modification, protein turnover, chaperones"
4093,BT_4008,conserved hypothetical protein,K09710,NA,COG0799,"Translation, ribosomal structure and biogenesis"
4094,BT_t65,tRNA-Gln,K14223,NA,NA,NA
4095,BT_4009,integrase,NA,NA,COG4974,"Replication, recombination and repair"
4096,BT_4010,conserved hypothetical protein,NA,NA,NA,NA
4097,BT_4011,DNA-methyltransferase,K06223,2.1.1.72,COG0338,"Replication, recombination and repair"
4098,BT_4012,putative ABC oligo/dipeptide transport%2C ATP-binding protein,NA,NA,COG3910,General function prediction only
4099,BT_4013,restriction endonuclease,NA,NA,COG1061,Transcription
4100,BT_4014,putative type II restriction endonuclease,NA,NA,NA,NA
4101,BT_4015,transposase,NA,NA,COG4974,"Replication, recombination and repair"
4102,BT_4016,conserved hypothetical protein,NA,NA,NA,NA
4103,BT_4017,hypothetical protein,NA,NA,NA,NA
4104,BT_4018,conserved hypothetical protein,NA,NA,NA,NA
4105,BT_4019,conserved hypothetical protein,NA,NA,NA,NA
4106,BT_4020,conserved hypothetical protein,NA,NA,NA,NA
4107,BT_4021,integrase,NA,NA,COG4974,"Replication, recombination and repair"
4108,BT_4022,integrase,NA,NA,COG4974,"Replication, recombination and repair"
4109,BT_4023,transposase,NA,NA,COG4974,"Replication, recombination and repair"
4110,BT_4024,hypothetical protein,NA,NA,NA,NA
4111,BT_4025,Putative DNA binding protein,NA,NA,NA,NA
4112,BT_4026,conserved hypothetical protein,NA,NA,NA,NA
4113,BT_4027,hypothetical protein,NA,NA,NA,NA
4114,BT_4028,hypothetical protein,NA,NA,NA,NA
4115,BT_4029,hypothetical protein,NA,NA,NA,NA
4116,BT_4030,hypothetical protein,NA,NA,NA,NA
4117,BT_4031,N-acetylmuramoyl-L-alanine amidase,K01447,3.5.1.28,COG3023,Cell wall/membrane/envelope biogenesis
4118,BT_4032,conserved hypothetical protein%2C putative non-specific DNA-binding protein,NA,NA,COG0776,"Replication, recombination and repair"
4119,BT_4033,hypothetical protein,NA,NA,NA,NA
4120,BT_4034,hypothetical protein,NA,NA,NA,NA
4121,BT_4035,hypothetical protein,NA,NA,COG1396,Transcription
4122,BT_4036,conserved hypothetical protein,NA,NA,NA,NA
4123,BT_4037,hypothetical protein,NA,NA,NA,NA
4124,BT_4038,SusD homolog,NA,NA,NA,NA
4125,BT_4039,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
4126,BT_4040,putative galactose oxidase precursor,NA,NA,NA,NA
4127,BT_4041,conserved hypothetical protein,NA,NA,NA,NA
4128,BT_4042,putative Mg2+ transporter MgtE,K06213,NA,COG2239,Inorganic ion transport and metabolism
4129,BT_4043,dimethyladenosine transferase,K02528,2.1.1.182,COG0030,"Translation, ribosomal structure and biogenesis"
4130,BT_4044,putative dolichol-P-glucose synthetase,K07027,NA,NA,NA
4131,BT_4045,aminoacyl-histidine dipeptidase,K01270,NA,COG2195,Amino acid transport and metabolism
4132,BT_4046,conserved hypothetical protein,NA,NA,NA,NA
4133,BT_4047,Alpha-2-macroglobulin-like protein,NA,NA,COG2373,General function prediction only
4134,BT_4048,conserved hypothetical protein,NA,NA,NA,NA
4135,BT_4049,putative ArgK protein with ATPase and kinase domains,K07588,NA,COG1703,"Posttranslational modification, protein turnover, chaperones"
4136,BT_4050,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
4137,BT_4051,putative transmembrane permease,NA,NA,COG0697,Carbohydrate transport and metabolism
4138,BT_4052,putative ABC transporter ATP-binding protein,NA,NA,COG3593,"Replication, recombination and repair"
4139,BT_4053,putative membrane transport protein,K16053,NA,COG0668,Cell wall/membrane/envelope biogenesis
4140,BT_4054,putative transcriptional regulator,NA,NA,COG2207,Transcription
4141,BT_4055,TonB-dependent receptor,NA,NA,COG1629,Inorganic ion transport and metabolism
4142,BT_4056,conserved hypothetical protein,NA,NA,NA,NA
4143,BT_4057,two-component system sensor histidine kinase,NA,NA,COG2203,Signal transduction mechanisms
4144,BT_4058,NADH dehydrogenase I%2C chain N,K00343,7.1.1.2,COG1007,Energy production and conversion
4145,BT_4059,NADH dehydrogenase I%2C chain M,K00342,7.1.1.2,COG1008,Energy production and conversion
4146,BT_4060,NADH dehydrogenase I%2C chain L,K00341,7.1.1.2,COG1009,Energy production and conversion
4147,BT_4061,NADH dehydrogenase I%2C chain K,K00340,7.1.1.2,COG0713,Energy production and conversion
4148,BT_4062,NADH dehydrogenase I%2C chain J,K00339,7.1.1.2,COG0839,Energy production and conversion
4149,BT_4063,NADH dehydrogenase I%2C chain I,K00338,7.1.1.2,COG1143,Energy production and conversion
4150,BT_4064,NADH dehydrogenase I%2C chain H,K00337,7.1.1.2,COG1005,Energy production and conversion
4151,BT_4065,NADH dehydrogenase I%2C chain D,K13378,7.1.1.2,COG0852,Energy production and conversion
4152,BT_4066,NADH dehydrogenase I%2C chain B,K00331,7.1.1.2,COG0377,Energy production and conversion
4153,BT_4067,NADH dehydrogenase I%2C chain A,K00330,7.1.1.2,COG0838,Energy production and conversion
4154,BT_4068,conserved hypothetical protein,NA,NA,NA,NA
4155,BT_4069,conserved hypothetical protein%2C putative regulatory protein,NA,NA,NA,NA
4156,BT_4070,RNA polymerase ECF-type sigma factor,NA,NA,COG1595,Transcription
4157,BT_4071,hypothetical protein,NA,NA,NA,NA
4158,BT_4072,alpha-mannosidase,K01191,3.2.1.24,COG0383,Carbohydrate transport and metabolism
4159,BT_4073,Alpha-1%2C2-mannosidase%2C putative,NA,NA,COG3537,Carbohydrate transport and metabolism
4160,BT_4074,beta-mannosidase precursor,NA,NA,COG3250,Carbohydrate transport and metabolism
4161,BT_4075,putative lipolytic enzyme%2C G-D-S-L family,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
4162,BT_4076,alpha-rhamnosidase,K05989,3.2.1.40,NA,NA
4163,BT_4077,endo-1%2C4-beta-xylanase Z precursor,NA,NA,COG2382,Inorganic ion transport and metabolism
4164,BT_4078,Lipolytic enzyme%2C G-D-S-L family,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
4165,BT_4079,conserved hypothetical protein,NA,NA,NA,NA
4166,BT_4080,putative cell surface protein,NA,NA,NA,NA
4167,BT_4081,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4168,BT_4082,SusD homolog,NA,NA,NA,NA
4169,BT_4083,hypothetical protein,NA,NA,NA,NA
4170,BT_4084,conserved hypothetical protein,NA,NA,NA,NA
4171,BT_4085,SusD homolog,K21572,NA,NA,NA
4172,BT_4086,hypothetical protein,NA,NA,NA,NA
4173,BT_4087,hypothetical protein,NA,NA,NA,NA
4174,BT_4088,SusC homolog,NA,NA,NA,NA
4175,BT_4089,SusD homolog,K21572,NA,NA,NA
4176,BT_4090,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4177,BT_4091,sialic acid-specific 9-O-acetylesterase,K05970,3.1.1.53,NA,NA
4178,BT_4092,putative alpha-1%2C2-mannosidase,NA,NA,COG3537,Carbohydrate transport and metabolism
4179,BT_4093,alpha-1%2C2-mannosidase family protein,NA,NA,COG3537,Carbohydrate transport and metabolism
4180,BT_4094,glycosidase,K21065,3.2.1.197,COG2152,Carbohydrate transport and metabolism
4181,BT_4095,beta-xylosidase (1%2C4-beta-D-xylan xylosidase),NA,NA,COG3507,Carbohydrate transport and metabolism
4182,BT_4096,lipolytic enzyme%2C G-D-S-L family,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
4183,BT_4097,Trk system K+ uptake protein trkH,K03498,NA,COG0168,Inorganic ion transport and metabolism
4184,BT_4098,Trk system K+ uptake protein trkA,K03499,NA,COG0569,Signal transduction mechanisms
4185,BT_4099,1-deoxy-D-xylulose 5-phosphate synthase,K01662,2.2.1.7,COG1154,Coenzyme transport and metabolism
4186,BT_4100,putative lipoprotein,NA,NA,NA,NA
4187,BT_4101,alanine racemase,K01798,6.3.2.10,COG0787,Cell wall/membrane/envelope biogenesis
4188,BT_4102,putative Sec-independent protein translocase,K03116,NA,COG1826,"Intracellular trafficking, secretion, and vesicular transport"
4189,BT_4103,putative Sec-independent protein translocase,K03118,NA,COG0805,"Intracellular trafficking, secretion, and vesicular transport"
4190,BT_4104,DNA helicase,NA,NA,COG1112,"Replication, recombination and repair"
4191,BT_4105,hexuronate transporter,K08191,NA,COG2223,Inorganic ion transport and metabolism
4192,BT_4106,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,K01815,5.3.1.17,COG3717,Carbohydrate transport and metabolism
4193,BT_4107,putative phosphotransferase enzyme II%2C C component,K02775,NA,COG3775,Carbohydrate transport and metabolism
4194,BT_4108,glycoside hydrolase family 15,K15532,3.2.1.172,COG4225,Carbohydrate transport and metabolism
4195,BT_4109,putative pectinesterase precursor,K01051,3.1.1.11,COG4677,Carbohydrate transport and metabolism
4196,BT_4110,putative pectinesterase precursor,K01051,3.1.1.11,COG4677,Carbohydrate transport and metabolism
4197,BT_4111,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4198,BT_4112,putative Fibronectin,NA,NA,NA,NA
4199,BT_4113,SusD homolog,K21572,NA,NA,NA
4200,BT_4114,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
4201,BT_4115,pectate lyase,NA,NA,COG3866,Carbohydrate transport and metabolism
4202,BT_4116,pectate lyase,NA,NA,COG3866,Carbohydrate transport and metabolism
4203,BT_4117,conserved hypothetical protein,NA,NA,NA,NA
4204,BT_4118,putative two-component system response regulator%2C no kinase domain,NA,NA,COG3279,Transcription
4205,BT_4119,pectate lyase,NA,NA,NA,NA
4206,BT_4120,Fibronectin%2C type III,NA,NA,NA,NA
4207,BT_4121,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
4208,BT_4122,SusD homolog,NA,NA,NA,NA
4209,BT_4123,exo-poly-alpha-D-galacturonosidase precursor,NA,NA,COG5434,Carbohydrate transport and metabolism
4210,BT_4124,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4211,BT_4125,conserved hypothetical protein,K07139,NA,COG1242,General function prediction only
4212,BT_4126,flavoprotein,NA,NA,COG0426,Energy production and conversion
4213,BT_4127,glucosamine-6-phosphate isomerase,K02564,3.5.99.6,COG0363,Carbohydrate transport and metabolism
4214,BT_4128,putative Sua5/yciO/yrdC family protein,NA,NA,COG0009,"Translation, ribosomal structure and biogenesis"
4215,BT_4129,outer membrane assembly protein,NA,NA,NA,NA
4216,BT_4130,putative helicase,NA,NA,COG3063,Cell motility
4217,BT_4131,putative haloacid dehalogenase-like hydrolase,NA,NA,COG0561,Coenzyme transport and metabolism
4218,BT_4132,putative chitobiase,NA,NA,NA,NA
4219,BT_4133,hypothetical protein,NA,NA,NA,NA
4220,BT_4134,SusD homolog,NA,NA,NA,NA
4221,BT_4135,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
4222,BT_4136,putative exported fucosidase,K01206,3.2.1.51,COG3669,Carbohydrate transport and metabolism
4223,BT_4137,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4224,BT_4138,putative aminotransferase,K14155,4.4.1.13,COG1168,Amino acid transport and metabolism
4225,BT_4139,Metallophosphoesterase,K07098,NA,COG1408,General function prediction only
4226,BT_4140,DNA polymerase%2C beta-like region,NA,NA,COG1669,General function prediction only
4227,BT_4141,hypothetical protein,NA,NA,NA,NA
4228,BT_4142,putative AraC family transcriptional regulator,NA,NA,COG3449,"Replication, recombination and repair"
4229,BT_4143,putative iron-sulfur cluster binding protein,NA,NA,COG1600,"Translation, ribosomal structure and biogenesis"
4230,BT_4144,transposase,NA,NA,NA,NA
4231,BT_4145,Glycoside hydrolase family 2%2C sugar binding protein,NA,NA,NA,NA
4232,BT_4146,exo-poly-alpha-D-galacturonosidase precursor,NA,NA,COG5434,Carbohydrate transport and metabolism
4233,BT_4147,hypothetical protein,NA,NA,NA,NA
4234,BT_4148,hypothetical protein,NA,NA,NA,NA
4235,BT_4149,exo-poly-alpha-D-galacturonosidase precursor,NA,NA,COG5434,Carbohydrate transport and metabolism
4236,BT_4150,putative rhamnogalacturonan acetylesterase,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
4237,BT_4151,beta-glucuronidase,NA,NA,COG3250,Carbohydrate transport and metabolism
4238,BT_4152,beta-galactosidase I,K12308,3.2.1.23,COG1874,Carbohydrate transport and metabolism
4239,BT_4153,Exopolygalacturonase precursor,NA,NA,COG5434,Carbohydrate transport and metabolism
4240,BT_4154,chitin deacetylase,NA,NA,COG0726,Cell wall/membrane/envelope biogenesis
4241,BT_4155,pectate lyase,NA,NA,COG5434,Carbohydrate transport and metabolism
4242,BT_4156,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
4243,BT_4157,alpha-galactosidase precursor,NA,NA,COG3345,Carbohydrate transport and metabolism
4244,BT_4158,Lipolytic enzyme%2C G-D-S-L family,NA,NA,NA,NA
4245,BT_4159,hypothetical protein,NA,NA,NA,NA
4246,BT_4160,beta-galactosidase precursor,NA,NA,COG1874,Carbohydrate transport and metabolism
4247,BT_4161,Histone-like bacterial DNA-binding protein,NA,NA,NA,NA
4248,BT_4162,putative helicase,NA,NA,COG5545,"Mobilome: prophages, transposons"
4249,BT_4163,conserved hypothetical protein,NA,NA,COG2335,General function prediction only
4250,BT_4164,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4251,BT_4165,SusD homolog,K21572,NA,NA,NA
4252,BT_4166,putative lipoprotein,NA,NA,COG2335,General function prediction only
4253,BT_4167,hypothetical protein,NA,NA,NA,NA
4254,BT_4168,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
4255,BT_4169,SusD homolog,K21572,NA,NA,NA
4256,BT_4170,putative pectate lyase L precursor,NA,NA,NA,NA
4257,BT_4171,hypothetical protein,NA,NA,NA,NA
4258,BT_4172,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
4259,BT_4173,putative rhamnogalacturonan acetylesterase,NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
4260,BT_4174,Glycosyl hydrolase%2C family 88,NA,NA,COG4225,Carbohydrate transport and metabolism
4261,BT_4175,conserved hypothetical protein,NA,NA,NA,NA
4262,BT_4176,conserved hypothetical protein%2C putative cytoplasmic protein,NA,NA,COG4225,Carbohydrate transport and metabolism
4263,BT_4177,Rhamnose mutarotase,K03534,5.1.3.32,COG3254,Cell wall/membrane/envelope biogenesis
4264,BT_4178,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4265,BT_4179,polysaccharide deacetylase,NA,NA,COG0726,Cell wall/membrane/envelope biogenesis
4266,BT_4180,acetyl xylan esterase A,NA,NA,NA,NA
4267,BT_4181,beta-galactosidase,NA,NA,COG3250,Carbohydrate transport and metabolism
4268,BT_4182,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4269,BT_4183,pectate lyase L precursor,NA,NA,NA,NA
4270,BT_4184,phosphoglycolate phosphatase,K01091,3.1.3.18,COG0546,Energy production and conversion
4271,BT_4185,xylosidase/arabinosidase,NA,NA,COG3507,Carbohydrate transport and metabolism
4272,BT_4186,conserved hypothetical protein,NA,NA,NA,NA
4273,BT_4187,exo-poly-alpha-D-galacturonosidase precursor,NA,NA,COG5434,Carbohydrate transport and metabolism
4274,BT_4188,enoyl-[acyl-carrier-protein] reductase,K00208,1.3.1.10,COG0623,Lipid transport and metabolism
4275,BT_4189,conserved hypothetical protein,NA,NA,NA,NA
4276,BT_4190,putative S-adenosylmethionine-dependent methytransferase,K07056,2.1.1.198,COG0313,"Translation, ribosomal structure and biogenesis"
4277,BT_4191,hypothetical protein,NA,NA,NA,NA
4278,BT_4192,lipoic acid synthetase,K03644,2.8.1.8,COG0320,Coenzyme transport and metabolism
4279,BT_4193,dipeptidyl peptidase IV,K01278,3.4.14.5,COG1506,Amino acid transport and metabolism
4280,BT_4194,putative integral membrane protein,NA,NA,COG0330,"Posttranslational modification, protein turnover, chaperones"
4281,BT_4195,conserved hypothetical protein,NA,NA,COG4877,Function unknown
4282,BT_4196,conserved hypothetical protein,NA,NA,NA,NA
4283,BT_4197,hypothetical protein,NA,NA,NA,NA
4284,BT_4198,putative regulatory protein,NA,NA,COG3682,Transcription
4285,BT_4199,putative transcriptional regulator,NA,NA,COG4219,Signal transduction mechanisms
4286,BT_4200,putative transcriptional regulator,NA,NA,COG4219,Signal transduction mechanisms
4287,BT_4201,putative transcriptional regulator,NA,NA,COG4219,Signal transduction mechanisms
4288,BT_4202,hypothetical protein,NA,NA,NA,NA
4289,BT_4203,tRNA delta(2)-isopentenylpyrophosphate transferase,K00791,2.5.1.75,COG0324,"Translation, ribosomal structure and biogenesis"
4290,BT_4204,conserved hypothetical protein,NA,NA,NA,NA
4291,BT_4205,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,K00677,2.3.1.129,COG1043,Cell wall/membrane/envelope biogenesis
4292,BT_4206,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,K16363,4.2.1.59,COG0774,Cell wall/membrane/envelope biogenesis
4293,BT_4207,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,K02536,2.3.1.191,COG1044,Cell wall/membrane/envelope biogenesis
4294,BT_4208,phosphohydrolase,K06885,NA,COG1078,General function prediction only
4295,BT_4209,orotidine 5'-phosphate decarboxylase,K01591,4.1.1.23,COG0284,Nucleotide transport and metabolism
4296,BT_4210,peptide chain release factor 1,K02835,NA,COG0216,"Translation, ribosomal structure and biogenesis"
4297,BT_4211,putative phosphoribosylformylglycinamidine cyclo-ligase,K01933,6.3.3.1,COG0150,Nucleotide transport and metabolism
4298,BT_4212,putative LemA protein,K03744,NA,COG1704,Cell wall/membrane/envelope biogenesis
4299,BT_4213,conserved hypothetical protein,K06872,NA,COG1512,Function unknown
4300,BT_4214,hydrolase of the alpha/beta superfamily,K06889,NA,COG1073,Signal transduction mechanisms
4301,BT_4215,shikimate 5-dehydrogenase,NA,NA,COG0169,Amino acid transport and metabolism
4302,BT_4216,ubiquinone/menaquinone biosynthesis methyltransferase,K03183,2.1.1.201,COG2226,Coenzyme transport and metabolism
4303,BT_4217,phosphoribosylamidoimidazole-succinocarboxamide synthase,K01923,6.3.2.6,COG0152,Nucleotide transport and metabolism
4304,BT_4218,phosphate starvation-inducible protein%2C PhoH,K06217,NA,COG1702,Signal transduction mechanisms
4305,BT_4219,conserved hypothetical protein,NA,NA,NA,NA
4306,BT_4220,flotillin-like protein,K07192,NA,COG2268,Function unknown
4307,BT_4221,conserved hypothetical protein,NA,NA,NA,NA
4308,BT_4222,putative cell filamentation protein Fic-related protein,K04095,2.7.7.108,COG2512,General function prediction only
4309,BT_4223,hypothetical protein,NA,NA,NA,NA
4310,BT_4224,hypothetical protein,NA,NA,NA,NA
4311,BT_4225,conserved hypothetical protein,NA,NA,NA,NA
4312,BT_4226,conserved hypothetical protein,NA,NA,NA,NA
4313,BT_4227,hypothetical protein,NA,NA,NA,NA
4314,BT_4228,hypothetical protein,NA,NA,NA,NA
4315,BT_4229,putative transcriptional regulator,NA,NA,COG2865,Transcription
4316,BT_4230,putative helicase,NA,NA,COG5545,"Mobilome: prophages, transposons"
4317,BT_4231,Histone-like bacterial DNA-binding protein,NA,NA,COG0776,"Replication, recombination and repair"
4318,BT_4232,Lambda repressor-like%2C DNA-binding protein,NA,NA,NA,NA
4319,BT_4233,conserved hypothetical protein,NA,NA,NA,NA
4320,BT_4234,FimX-like protein,NA,NA,NA,NA
4321,BT_4235,hypothetical protein,NA,NA,NA,NA
4322,BT_4236,two-component system sensor histidine kinase/response regulator%2C hybrid (one-component system),NA,NA,COG3292,Signal transduction mechanisms
4323,BT_4237,tRNA pseudouridine synthase A,K06173,5.4.99.12,COG0101,"Translation, ribosomal structure and biogenesis"
4324,BT_4238,putative permease,NA,NA,COG2510,Coenzyme transport and metabolism
4325,BT_4239,conserved hypothetical protein,NA,NA,NA,NA
4326,BT_4240,conserved hypothetical protein%2C with a phosphotransferase enzyme family domain,NA,NA,COG2334,Signal transduction mechanisms
4327,BT_4241,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
4328,BT_4242,putative transporter,NA,NA,COG1284,Function unknown
4329,BT_4243,putative oxidoreductase (putative secreted protein),NA,NA,COG0673,General function prediction only
4330,BT_4244,conserved hypothetical protein,NA,NA,NA,NA
4331,BT_4245,conserved hypothetical protein,NA,NA,NA,NA
4332,BT_4246,SusD homolog,NA,NA,NA,NA
4333,BT_4247,SusC homolog,NA,NA,COG4206,Coenzyme transport and metabolism
4334,BT_4248,putative anti-sigma factor,NA,NA,COG3712,Signal transduction mechanisms
4335,BT_4249,conserved hypothetical protein,NA,NA,NA,NA
4336,BT_4250,RNA polymerase ECF-type sigma factor,K03088,NA,COG1595,Transcription
4337,BT_4251,hypothetical protein,NA,NA,NA,NA
4338,BT_4252,putative oxidoreductase,NA,NA,COG0673,General function prediction only
4339,BT_t66,tRNA-Gly,K14225,NA,NA,NA
4340,BT_t67,tRNA-Tyr,K14236,NA,NA,NA
4341,BT_4253,6%2C7-dimethyl-8-ribityllumazine synthase,K00794,2.5.1.78,COG0054,Coenzyme transport and metabolism
4342,BT_4254,putative TPR domain protein,NA,NA,NA,NA
4343,BT_4255,DNA replication and repair protein RecF%2C ABC family ATPase,K03629,NA,COG1195,"Replication, recombination and repair"
4344,BT_4256,conserved hypothetical protein,NA,NA,NA,NA
4345,BT_4257,putative histidinol-phosphatase,K04486,3.1.3.15,COG1387,Amino acid transport and metabolism
4346,BT_4258,putative 5-formyltetrahydrofolate cyclo-ligase,K01934,6.3.3.2,COG0212,Coenzyme transport and metabolism
4347,BT_4259,carboxy-terminal processing protease precursor,K03797,3.4.21.102,COG0793,"Posttranslational modification, protein turnover, chaperones"
4348,BT_4260,deoxycytidylate deaminase,K01493,3.5.4.12,COG2131,Nucleotide transport and metabolism
4349,BT_4261,hypothetical protein,NA,NA,NA,NA
4350,BT_4262,peptidyl-dipeptidase,K01284,3.4.15.5,COG0339,"Posttranslational modification, protein turnover, chaperones"
4351,BT_4263,glyceraldehyde 3-phosphate dehydrogenase,K00134,1.2.1.12,COG0057,Carbohydrate transport and metabolism
4352,BT_4264,putative ion channel,K03282,NA,COG1970,Cell wall/membrane/envelope biogenesis
4353,BT_4265,GMP synthase (glutamine-hydrolyzing),K01951,6.3.5.2,COG0519,Nucleotide transport and metabolism
4354,BT_4266,conserved hypothetical protein with NHL repeat,NA,NA,NA,NA
